DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2015,65.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2016,67.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2017,69.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2018,70.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2019,71.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DE,2020,70.6,bp
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2009,54.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2010,55.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2011,57.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2012,57.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2013,58.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2014,60.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2015,63.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2016,65.8,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2017,68.2,b
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2018,69.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2019,71.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,DK,2020,71.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2009,44.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2010,45.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2011,46.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2012,48.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2013,49.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2014,51.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2015,53.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2016,55.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2017,57.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2018,58.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2019,59.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EA19,2020,59.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2009,60.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2010,53.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2011,57.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2012,60.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2013,62.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2014,64.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2015,64.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2016,65.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2017,67.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2018,68.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2019,71.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EE,2020,71.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2009,42.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2010,42.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2011,39.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2012,36.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2013,35.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2014,33.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2015,34.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2016,36.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2017,38.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2018,40.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2019,42.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EL,2020,42.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2009,44.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2010,43.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2011,44.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2012,43.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2013,43.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2014,44.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2015,46.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2016,49.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2017,50.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2018,52.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2019,53.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,ES,2020,54.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2009,43.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2010,43.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2011,45.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2012,46.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2013,48.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2014,49.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2015,51.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2016,53.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2017,55.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2018,57.3,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2019,58.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,EU27_2020,2020,59.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2009,54.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2010,55.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2011,56.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2012,57.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2013,57.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2014,58.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2015,59.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2016,60.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2017,61.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2018,64.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2019,65.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FI,2020,66.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2005,39.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2006,39.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2007,39.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2008,39.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2009,40.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2010,41.0,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2011,42.7,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2012,45.8,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2013,46.9,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2014,48.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2015,50.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2016,51.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2017,52.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2018,53.6,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2019,54.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,FR,2020,55.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,HR,2009,39.4,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,HR,2010,39.1,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,HR,2011,38.2,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,HR,2012,37.5,
ESTAT:TESEM050(1.0),24/02/22 23:00:00,A,EMP_LFS,T,Y55-64,PC_POP,HR,2013,37.8,
